,Unused triplet IDs,Unguessable text
1,x,"Grenadian, who specialized in breaststroke events."
2,x,(Bulgarian: Â - ) is a high-mountain long-distance trail
3,"1,2",The film released on 27 October 2008.
4,x,is a pair of tall buildings
5,x,was an American food specializing in the dairy industry.
6,1,"292, in the province of Saskatchewan, Canada."
7,x,"Is a small heavy water production plant, located in Multan, Punjab, with an original annual capacity of 13 metric tons."
8,1,"federal law to restrict child pornography on the internet, including virtual child pornography."
9,x,published posthumously in 1936.
10,2,"(or the holding of a trusteeship) is a legal term which, in its broadest sense, is a synonym for anyone of trust and so can refer to any person who holds property, authority, or of trust or responsibility to transfer the title of ownership to the person named as the new owner, in a trust instrument, called a beneficiary."
11,"1,3,4",is an Australian former state and national representative who made 13 Test match appearances for Wallabies between 1983 and 1987.
12,x,"IBM PC (as a booter), and TI-99/4A. "
13,"3,6","in 1960, and collected in the omnibus volume Three Aces (Viking 1971)."
14,"1,2","from 2000 to 2005, representing the state of South."
15,"1,3,4","(born 1907 in Ruffec, Charente; died 1978) is a French crime writer."
16,x,"is an Italian, who currently rides for UCI Continental Team"
17,x,"in Redlands, California is a retired soccer who was a member of the United States national soccer team."
18,3,a lost 1922 American silent drama
19,1,"directed the planning grant for two million dollar Theological Exploration of project, served on the National Task Force on Education of the in America, and was lead grant writer for the Gustavus Academy for Faith, Science, and. She is also the translator and editor of a collection of essays by the Lutheran theologian J.G."
20,x,"was an American from Franklin, Kentucky who became the first to serve in the Kentucky Senate when in November 1949 she won a special election to replace her husband, J. Lee Moore, in the legislature after his death"
21,"1,2,6,7","(Gujarat, India) was an Indian born to a Parsi family, who played 26 first-class matches between 1892 and 1913."
22,"1,2,3,4,5,6,7,8,9,10,11","Creator: Bohumil Hrabal Writer: Bohumil Hrabal, JiÅÃ­ Menzel Music: JiÅÃ­ Å ust Camera: Jiri MacÃ¡k Director: JiÅÃ­ Menzel Starring: Rudolf HruÅ¡Ã­nskÃ½, Jaromir HanzlÃ­k, Josef Somr, Petr Äepek, Miroslav Stibich, Rudolf HruÅ¡Ã­nskÃ½ ml., Peter Brukner, Eugen Yegorov, Beatrice Holis, Mary SpurnÃ¡, LibuÅ¡e Å afrÃ¡nkovÃ¡, JiÅÃ­ Schmitzer, Ferdinand HavlÃ­k Further information: color, 83 min, comedy Origin: Czechoslovakia, Barrandov Film Studio, 1983"
23,"5,7",(Italian: Cugini carnali) is a 1974 Italian comedy starring Susan Player.
24,"1,3,5",who served from 1910 to 1944.
25,"1,3,5,6",(1849) was a professional who played outfield for the 1872 and 1875 team of the NAPBBP.
26,"3,4",(Pskovskiy) was known for circumnavigating on bicycle between 1928 and 1931.
27,"6,8",1969 American
28,2,"Craig Judge is an American filmmaker, screenwriter, musician and former physicist"
29,"1,2,3,4,5,6,7,8,9,10,11",Ninotchka is a 1939 American  comedy film made for Metro-Goldwyn-Mayer by producer and director Ernst Lubitsch and starring Greta Garbo and Melvyn Douglas.
30,10,"as Jeffrey and as Steve, the film features cameos Gregory Jbara, Robert Klein, Kevin Nealon"
