2.docx,Unused triplet IDs,Unguessable text
1,X,"February, at the age of
91."
2,X,"multipurpose power soldering device designed for electronic
components soldering."
3,X,"(sometimes called Dillard
- Hartford - Dillard), Doug Dillard, and Rodney Dillard"
4,X,film and television composition program.
5,X,X
6,X,playing 3 matches.
7,1,"born Adrianne Judith Pringle, British former jazz, cabaret singer, comedian and
impressionist."
8,2,The motherland of some great business families
9,2.3,"at the home of the Legh family, who had an estate close to the Dods in
Cheshire"
10,X,X
11,3,"(ワンダーボーイ, Wandā Bōi), developed by Escape (now known as Westone Bit
Entertainment)."
12,4.6,"(Valencian pronunciation: [la ˈsɛra ðeŋ ɡalseˈɾan], Spanish: Sierra Engarcerán),
province of Castelló"
13,2.4,"Austrian football
manager and former"
14,3,"Mercury subsidiary label, became a number one pop single on the Billboard Hot 100, remained on the charts in early 1970."
15,X,"for the Kansas City Royals, Pittsburgh Pirates, Chicago White Sox and Toronto Blue
Jays."
16,5,"Argentinian Jesuit,
naturalist"
17,3.6,"MIME, educator"
18,X,"General, insurgent leader
who currently commands"
19,"1, 2, 4",Dutch former
20,"1, 4, 5",Japanese
21,3.5,",;    ج    دلارحمان ,Télemly"
22,"1, 3, 5, 6",K413
23,"3, 5, 7",RA
24,"5, 6, 7",X
25,"2, 3, 4, 6, 7",X
26,"1, 3, 4, 6",unincorporated
27,"3, 4, 7, 8","Filipino, first translator of Dr. José Rizal's novel Noli Me Tangere into the
Tagalog language."
28,"1, 2, 3, 5",2005
29,"1, 3, 4",X
30,"3, 5, 6, 8","1881, Realism"
